ID	EN
3133343132353435	what's in a burrito
3231333431383839	add John to the following call
3132353739393839	Please play Drummer Boy by Pentatonix
3139393737353131	what is happening tonight
3232313432323136	can you set an alarm for 10 seconds from now
3231323233323434	Set two reminders, one for one hour and another for three hours before the meeting.
3138383933373738	How long does milk last
3138393930323034	When did Sam get his diploma?
39343630373936	how do you make alfredo sauce
39343639373232	Change to salsa music.
3231353535333039	i would like an alarm for 5 this evening
3231323337303939	please cancel my reminder to buy bacon
3231353233323036	Play a little German Hip-Hop music
39353435343731	Set the alarm for the flight next week
3231333130373033	Start a video call with Lodi uncles.
3231303231393130	Only answer that call if it’s from Jupiter Bank
3139393739383030	Newyear activities
3139393837363333	what's going on in Roanoke this weekend
3232343532303735	going to Grilled Cheese Grand Prix
3231353537323735	What is the weather like over Christmas?
3231353531393635	Make an alarm for the next 7 weeks for Thursday at 6pm
3134313630323331	Will it be around 11 degree Celsius in Dehli tomorrow morning
39343938313033	Play Colors by Halsey on Pandora
3231363335363033	Set the alarm for Friday 8am
3232323831333836	Play some David Garrett
39343631393638	what is in an enchilada
3231373131323931	Please call Ahmad A Wu
3231333039323031	can you answer the video call from nephews?
3138383934383038	find me some meatless pasta dishes
3231323334313430	What reminders are there about Girl's weekend?
3231323238363431	Can you delete my client reminders for the next week?
3231373131353535	Can you call Franky Annalise Richmond
39353237343736	Any Donald trump stories for today
3232313136323431	Snooze alarm
3132363038373732	please play my favorite playlist
3231313533343238	Remind me of the soccer game that is today at 3pm.
3231333534323838	Call boyfriend
3138393932333732	What is Emily's occupation?
3232313731323530	Please record a video message for kid
3231323234383435	Remove the reminder for Rob's soccer practice on Sunday
3231373131343936	Call Catherine Ewing Gibson for me
39353038373339	What time will it rain in Seattle on Monday?
3231373537393433	call the third one
3139393839393631	What should I do in Philadelphia tomorrow night
3135323934323732	Alarm set in ten minute intervals starting now
3231333938383237	Add 'eggs' to my 'buy coffee' reminder
3138383935303634	What kind of mushrooms should I pair with my sirloin steak
3138393932393030	Where does Doug work
39343636363634	What is the current news regarding Trump?
3231333530383031	do not bother me
3139393839313333	Concerts in Seattle this weekend
3231323430303838	Cancel my reminder on thursday
39343533353935	What temperature should cookies be baked at
3232313536363531	WhatsApp call Jayce Haynes
3231323337353537	Remind me to get eggs after work tonight.
3132353936343038	Show me the hour by hour temperature changes throughout the day
3138383937383139	Do I need to defrost chicken before putting it in the crock pot
3138393933393534	who is Tina D. smith?
3231363031393737	I want an alarm for 2pm.
39353437373130	play hip hop songs
3231363339373536	Tell me the weather for 1300hrs on Monday
3231323836373330	message Angela and tell her that the movie marathon is at Gloria's house in Overland Park
39353736323431	What is the Washington Posts top headline for today?
3138393931353531	Where does Mandy work?
3231313437373233	Remove the reminder for the family meeting tomorrow.
39353339363636	is it going to rain tomorrow morning
3232333730393732	How much time remains for my workout
3231373538313533	call Camille number two
3132353836313331	Don't play this song anymore, please
39353030313838	play a kpop playlist
3231333533323532	Who is online that I know
3231373439383338	What kind of event is Bark in the Park?
39343731393332	Provide me the recent news headlines?
3133323738333432	How many calories are on the brown rice
39353336393830	search for a specific music
39343534383832	recipes with no meat or cheese
3231313530323033	Remind me to look for Linda's Facebook post about ceramics this afternoon.
3135323939303037	Set a timer in 10 minutes
3133343139313531	Find me an Polish recipe please
39353638393837	will it be humid tomorrow
3231323334393037	create reminder about milk
3138383931343936	how do i make salsa
3232323230333137	Find Juice WRLD covers.
3138393935333830	Is Susan single?
3231313432343336	remind me that i work tuesday morning and again thursday morning at 9am
39343837393732	What's next week weather in Vegas
3231373233383438	Id like you to send a video
3133383232303538	What are the weather conditions in Chicago on Tuesday
3232313730393339	Start recording for a video message to Macie Larita
39353535363535	will it snow today?
39353330353438	is it going to snow tonight?
39353735333038	what is the percentage of rain for today?
3132363030323731	spotify play drake's newest album
3232333635383033	on whatsapp call Addilyn Boyd's cell
3231323231343034	Move the reminder about float decorating from tonight to next Sunday
3231323834363239	Message Reggie to ask him what time he will arrive.
39353233363630	SHOULD I TAKE AN UMBRELLA TODAY?
3231313534393836	Delete reminder for jacket.
3133343130323031	Does vegan meat have to be cooked long
3231313437303232	Delete the reminder about the book club
3231333933363732	MESSAGE DENNIE AND LET HER KNOW I WOULD LIKE TO MEET FOR LUNCH TOMORROW.
3138393833313532	Names of people who work at Clarus
39343631333732	ingredient list for blueberry muffins
3232353833363438	please send my family text
3231313531393539	Remind me to order Ellie's school supplies this week.
39353536363139	Add 15 more minutes to the time
39353334313533	Please tell me about today's news.
3231313433333934	Remind me to send Dean's care package on the 20th.
3231363734373438	Call Stephen
39353636363530	What is the temperature going to be tonight?
39353537393732	Add 30 more seconds to my timer.
3231363338303136	Will it rain tomorrow?
39353631313136	I want to hear classical music.
3231353436373833	Did Stacey try and call me today?
39353139343036	current sweden news
3231333533393530	Tell me if Carla from my entrepreneur group is on line ?
3231343030363532	Remind me to call grandma
39343539323330	do I need baking soda for making cookies
3133343138363234	How many cups of flour to make a small pizza
3231333530393739	My status is available
39353434343436	save this song to my good playlist
3138393931313134	How long has Abigail been a nurse?
39343636393435	Can you set a timer for a minute
39343636373435	News about Sean Spicer
3231363335323139	Insert alarm for the 20th, tomorrow at 1 in the morning
3232323232343036	Send that theater event to Bailey
39353130393339	set an alarm for thursday at 6
3231323738323932	Send a happy birthday message to dad.
3231333432303330	Call mom
3138383935303737	Tell me a recipe for no bake cookies
3138393930323036	When did Sam start univesity?
3231323233323635	Bring up all my pet grooming reminders for September and October.
39343639343038	I want to hear Taylor swift
39353731323637	play pop
3231313435393330	Remind me to leave for my car emissions test at 7:30am on Friday.
3231323335393238	Cancel my reminder to get groceries
3133343635313930	how do I make a grilled cheese sandwich
3231323830313936	Send a message to Kevin asking if he has heard from my husband.
3231363339323837	Give me the forecast for Belfast
3231373538393432	I like health
39343739393731	how long has it been on the timer?
3139393930313936	Things to do in Venice Beach today
3232313330353936	Drop Michelle from this call
3135323839353835	Are there any traffic news
3231363033303131	shuffle Hitstory
3231333132373232	Please make a call to my parents now
3231303137363230	Show info for the person calling me right now
3133323737373837	how do I make cheese pizza
3231323233373433	remove the reminder about jessicas appointment as she doesnt need to go anymore
3232313332343532	call Suarez and Davis
3231353535393735	Can you check if it's there's any sunshine tomorrow?
3231353539373033	What's the weather outside right now?
39343738353134	spotify play hasan's hip hop playlist
39353630383234	Set an alarm for 3:15 tomorrow.
3139393839393130	On Friday night what music events are happening in Alachua
39353430383530	Set alarm for 5am tomorrow
3231353036313030	call Izabella 's father
3231323834313435	Message Morgan's friends that we will have a surprise party for her on September 5th at 8pm
3135323839313034	read me the top international stories
3231323430303731	Delete all reminders for this weekend.
3138393734363434	Who are Jennifer's friends?
3138393832383437	who works for the public library?
3232313536383634	call my father River Robertson on WeChat
3232313536383035	Place a call to Karen on Messenger
3231323332343632	Delete the reminder to meet him for lunch tomorrow.
3231333532323132	tell everyone that i am available
3231333432383832	Who in my contact list is available
3138393738323739	my friends are still in oklahoma city right?
39353338363030	Any latest news about North Korea?
3135323934373232	Set an alarm for every 2 and a half minutes
3231303334373335	Call Ebony
3231353535363139	Shut the alarm off
3231323233363631	set a reminder to me my dad on Thursday at 7 pm
39353530393537	Any major news stories
39343537333233	How much water goes in smoothie
3232323831363737	Play Steppenwolf
3135323934323136	Set timer for one hour
3232313933373032	can you call Hudson Garza using WhatsApp
3231353437393733	Switch to call with my mother
3232313536383037	let's call Katherine on Hangouts
39343535393636	What ingredients are in Beef Wellington
39343738323636	Who is the lead singer of this band.
3231303138333739	Please add Jim to the current call.
3132363231333735	Remove two minutes from the current timer
39353534383137	What is he weather outside like right now
39343837393833	Please read me the details of the OJ Simpson hearing about found Not Guilty?
3231353538393031	Give me the weather forecast for Christmas in Tallinn
3138393839353135	when will Josh graduate?
39353832353438	play some 2015 rap music
39343538313534	at what temperature do you cook baked chicken at
3232333635343635	call my Whatsapp contact Russell
3231353437353631	Please tell me the information of my calls today
3138393835333332	Does John work in Wayne?
39353636323435	Are allies of the US preparing to defend Guam?
3231313435393837	Create a reminder for Uncle Bill to call Traci this Wednesday about the cottage.
39353734353433	How much time left on current timer for jogging?
39353831333639	can you play a country music song
3231363031383232	could you set an alert for 6 pm?
3139383539343134	I would like to know the news from Newsy
3132353735353833	Weather in South America in November
39353830303530	What is going on in the news tonight?
3231333132303233	ring child's cell
3134313630323135	Is it below 26 in degree C menlo park tomorrow morning
3231363332383332	Create alarms for 8 and 9 in the mornings.
3231323338363630	set up a reminder at 12pm today
3132353731323231	When the sunset
3231363339343631	How is the weather looking on the 11th June in Janalli in the morning?
3232313731303934	record a video message for Chana Stamps
3231373233373235	respond to Kamryn with a video
39353332363931	set a timer for  movies
3132363132363932	What is the weather like in Colorado this time of year
39353439363536	Play a different playlist
39343939393636	Latest Donald Trump news
3232333635323138	call Mackenzie Stevens on video on Whatsapp
3138393834323435	Tell me who works at lush
3231343937323934	Any baseball matches tomorrow night
3135323934363234	Set alarm 3 minutes from now
3232343436353231	Has Lila Kiritsy sent me any messages?
3231313532393939	Remind me to prep the paintings for the exhibit on Friday, September 14 at 10amPT
3139373936333038	i want to hear Lonestar 92.5 on iheartradio
3232353833313033	text Katey and Helen that are you free
3231313435333339	Create a reminder for Mom that she has a doctor's appointment tomorrow.
3231353937333839	How's the weather gonna be on Thursday?
3232323830393234	Play Depeche Mode, Black Celebration
3139393831343131	Things going on in Des Moines
3132353636333437	Kid friendly music
39343833303732	Are there going to be clouds today?
3132363131363436	how many minutes left
39353630363937	delete timer 1
3139393838363538	Where can I find live music performances in Chicago next week
3231353437383739	Please add Sebastiano to this call
39353437363536	How cold is it going to get this week?
3231353537313135	Will it snow on Christmas Eve?
3138393931333738	Did Tonya work at Chipotle before Google?
39343536343336	What temperature for a chocolate cake to back at
3231363033303435	open Spotify and play In The Lonely Hour (Deluxe Edition)
39343532313136	How long do I bake chicken for
3132353736303637	please play a r&b radio station on pandora
3138393835313635	where does Mable live?
3231323233323237	Set a reminder for the Martin Family reunion 3 months before October 17th.
3231303139343430	ignore all calls from Lee
3231323231373531	Add a note to the reminder to not forget my paperwork
3138393835323632	what city does Ahmed live in ?
3232323930333433	fix my couscous timer
3232353832333532	display my messages from my friend
3231323838353639	message laurie that i am on the ferry and will be 20 minutes late
3231323331393739	What time does the class reunion invitation reminder show?
39343530353830	Repeat the last song immediately
39353233383936	Set my timer to 2am
3231333430393036	Get Jesse on this call
3231323738333438	send a message to darryl saying so sorry i just heard the news
3136303030313537	News recap for yesterday
3231353036373634	call Tandra Klei 's nephew
3138393836343934	Is it true that John lives in Houston?
3232353331343238	call 6745557224 on my Pixel
3231323833353234	Ask Taylor if she plans on going to the Luke Bryan concert in August.
3231373131313337	I'd like to call Mary M Welch
3232333437383138	can you take 11 minutes from my Face mask timer
39353330303139	Will I need a sweater tonight?
3231363334323337	Set up my alarm to go off every week on Tuesday mornings at 8.15am.
3232313432323434	would you make an alarm for 5 minutes from now
3133343634353138	how hot should oil be for frying fish
3232323232353132	I want to see dog-friendly events in Des Moines
39343937393834	How much rain should I expect today
39353534303439	Are there conflict of interests between the mainstream media and big pharma or the FDA?
3138393830303439	Anyone I know from Milwaukee
3231333131373830	leave this conversation and switch to the incoming call from my stepsister Joe
3231313531383534	did i set a reminder for the farmers market on wednesday?
3231313433343136	Alexa, can you do a favor for me, delete the ticket book reminder for Las Vegas.
3231353436353938	Telephone Jo.
3135323839363639	Set the alarm every minute for 4 hours
3232353832373338	Have Eric and Lauren messaged me today
3135323931343432	What are the top headlines from the Los Angeles Times
39343730363537	Are there details to the plane crash that occurred in Virginia?
3139343332353531	Where did Steve Jobs grow up?
3231363330373832	Get rid of all alarms
3135323935383739	Tell me about the latest hurricane news about the Atlantic Ocean
39343530313337	How long should I bake chicken in the oven
3232353735303139	Would you can you send video message to Stevie on WhatsApp
3231333530333034	show me as busy
3132363131323234	How much rain did we get last night
3231323238373037	add picking up the cat's meds to my reminders for friday
39343731303238	how many timers are going
39353133373733	Clear and erase all timers
3231313531383031	can you alert me 15 minutes before today's baseball game at 630?
3132353830333535	Play me sublime radio
3232323731353734	please use spotify as my default
39343736303731	Please read me latest news for Ft. Lauderdale.
3231323332323638	remind me to tell mom that john will be arriving late
3231313530333433	ALERT ME IN 10 MINUTES TO LEAVE
3231333434343032	i am unaccessible
3138393837313832	How old is hesham ?
3231363335323031	set alarm october 10th
3139393839353933	What's happening in Chicago this weekend
3138393739333638	Do I know somebody living in Hawaii
3132353934303934	Open my Spotify playlists
3231303134373135	Hold all calls.
3231323931353934	message my mother that i am at 1099 crescent lane in kent ohio 44240
3231323238333639	Change all birthday alerts to 4 pm.
39353139313731	What time is it going to snow tomorrow?
3231323839303238	Message Mom that I will meet her at the mall after work.
39353033323834	read me the national news headlines
39343533343630	What is the nutrition info for chicken
39343734353831	Was there any breaking news today?
3232313731323834	Start recording a video message for Michaele Kant.
3231323336303336	Remind me to renew license plates
3138393735323836	Friends of Alex and John
3138393734343838	friends of my son
3231353534363632	create a new alarm for me for Thursday at 8am
3231323336373639	Set reminder to put out trash on Thursday
39353732353039	I want to listen to Chris Brown's last album
3231323337383932	set reminder for tomorrow at 6 am
3231343638373038	Temperature using Fahrenheit
3231353232323934	make a playlist called Late Night Vibes
39353732323839	Please skip to next song
3231363032313938	Quit it
3231353836303636	play WNBC on iheartradio
3231313535373839	Remind me to book a car for our trip
3231363039323433	create alarm for 8h15
3232353833313036	Have Ella and Zachary Fletcher messaged me today
3139393736393432	Anything to do tonight
3231353437363639	When did Jane video call me?
3231373234303534	respond with a video message
3231333439363131	Bring the call to a stop
39353131383834	snooze this alarm for one hour
39343934393037	Do I need my winter coat in November in New York?
3231343937353534	Are there any rugby games next month in Glendale
39343532353732	Is there dairy in sorbet
3138393835303932	Where in kent does lisa live
3138393836363338	Where has the Navy stationed my little brother Nathan this year?
3139393836333539	Any cool events in downtown Silver Spring for the weekend
3231333439363735	swap calls now
39353637323037	Set a timer for 45 minutes please.
3231313530313037	Remind me to follow up with Suzie about the newsletter Friday afternoon.
3139393834343030	events happening in kona tonight
39353736323735	can i hear the local entertainment news
39343532303732	What goes into a lasagna
39353133383734	is it still hazy in Seattle?
39353434353938	don't want to hear this song please move forward.
39343735323333	Begin a 15 minute time at 1:00 pm
3231363339313839	Could you tell me the weather of Colorado?
3135323932323536	Top entertainment news
3134313538393033	How hot is it at Manila today degrees Fahrenheit
3139393830313634	Events in Seattle for this Friday
3138393837303034	where in Nebraska does leslie live?
3231323336373634	Remind me to give puppy medicine
39353237393434	What is the surf advisory?
3232343333313131	switch call to full screen
39353739343432	What is the song called
3232343532373730	interested in going to the first event
39353139343332	Please give me details about Donald Trump newest member in the White House.
3231323832353438	Ask Jenny to meet us at the nearest library
39353133303830	i need a 6 minute timer
3231323236353432	Show the past three reminders.
3132363132353933	What's the humidity
3231353534303934	I wanna snooze the alarm to give me 15 more minutes sleep
39343739333736	News from the last hour.
39353534383633	recent articles about maroon 5
39353633303438	Latest US political news please
3231363333393539	Create an appointment alarm for 11:30am.
39343637393338	Set a timer to exercise for 60 minutes.
3231363031353436	make an alarm for Wednesday
3232333437383536	add 22 minutes to the Macaroni timer
3132353634353532	Who am I listening to right now
39343631373234	Find paleo recipe for pizza
39343930323031	add ten minutes to my timer
3138393833343637	search for people who are working for Rolls Royce.
3135383731353032	Why did Trump do that
3138393832393837	Who works at Creekside Animal Clinic?
3132353731303833	How long have I been running for
3132363039373037	What is the weather in Seattle this morning
3232323830383539	play mariah carey's greatest hits
39343936333839	Create a playlist for my grandma's birthday party
3231353437353332	Make me appear offline
3232323232343636	Send Comic Con to Mary
39343735363339	Is the timer still running?
3231353336343838	remove husband from call
3132383135353332	what is the humidity today
39343731353637	Find the hit song of the week in the dance category
39353331373035	will i need sunglasses today
3231333533393932	tell me  who is online
3134313539393134	Temperature tomorrow at Beijing Celsius
3133323735353238	What do I add to lasagna
39353030323037	snooze alarm for 3 minutes
3139393835333432	Is there any events happening in Dallas
3231353334383932	play A Day To Remember on iheartradio
3132363132303238	start my walk timer for 5 minutes
3139383035353636	iheartradio 981 K D D
3134313539393530	How warm is it near Dublin tonight in degrees celcius
3231313535353534	Change phonecall reminder to 3 pm CST instead of 3 pm PST.
3232353832303032	let me see my video messages from my dad Dylan
3231313531373636	Do I have any reminders for Saturday
3231313532343734	Remind me to pick up my vegetables and to clean them before putting them in the fridge.
3231333438373132	I want to see who's around
3231353336373338	change it to video call please
3231343030383834	Please delete the reminder to fix my dryer
3231353937333536	What is the weather at 11pm?
3231323331373537	Read the reminders for Tim's medical appointments
3231333432303634	make a group call to family
39353735303632	Who sang No problem
3138393833313935	Please find my friends name that works at Starbucks
3231323430363631	Display reminders for me.
3231323233343531	Create a reminder for each one of my trips out of town next week to repack my suitcase
3231303231333335	Remove dad from this phone call.
3139393837353037	Things to do in Orlando
39353034343433	Please set an alarm for 8am tomorrow
3136343035333634	What are the top headlines in Entertainment
3231303139323038	My mom should be removed from this video chat
3231323837323930	message steve and ask if he wants to have breakfast next week
39353436373330	time this sprint
3231373233333634	respond to Laura Mcintosh Evans with a video message
39353433373939	Is there a chance for tornadoes this weekend?
3231353530393939	Set an Early bird alarm for tomorrow morning at six.
3231323336363839	Move reminder to trash
3232323830363937	play the band Lil Uzi Vert
3132383135363635	Wind advisory for today
3133343139313139	what temperature is a steak at medium rare
39343630313732	I need a cupcake recipe
39343638323539	Set alarm for three hours from now.
3231313433393830	Delete the reminder for the broadway show on August 4th.
3138393835353738	where does Pam live
3135323933313739	what is the latest update on the hernandez murder trial
39353739393234	read me all the headlines from this weekend that i missed
39353733383734	Should I bring sunscreen with me?
3139393831323830	concerts in knoxville in december
3132353733333935	Which day of the week at the least chance of storms
3136333337363134	how many different trump news stories were there today
39353530393230	whats the weather today
3231323335353937	Set my reminder to pick up my sister
3231353036333537	call Cami Lawrenz 's mom
3231343538363237	speak to my grandma Willow
39353631363532	what is the percentage chance for rain?
39353335343033	rain chances for Orlando tomorrow evening please?
39353538343233	is hail in the forecast for Waco
3132353930373034	When is the first day of spring here
3231323932323834	Please message Glenn to let him know we're at the firepit, and we will be here until 10:00 tonight
3231323738353730	Did Lua message me yesterday?
3231323236363630	remind me to call sherry tuesday night at 7pm
3231323336303430	remind me to visit eye doctor Monday morning at 11am
3139393739363631	Parties in Los Angeles on New Year's Eve
39353739333833	Pop playlist.
3232313933383731	can you dial Mila on WhatsApp
39353030343437	Pause the track
3232343533323330	set my status as interested for Brickpalooza
3135323938373331	What is the major environmental news
39353233353234	any new news of donald trump
39353832333337	what is the time on the current timer
3232333636333138	call sibling on Whatsapp video chat
3138393834333530	Anybody I know that works for NYFW?
3231353531313533	Set me an alarm at 4PM to call my mum.
3231363331373834	Can you display the list of alarms?
3231323234393039	Do I have any reminders regarding Mommy before Friday?
3138393834333333	tell me who works at Winn Dixie
3231343631343637	Display Mr. Elvert uncles birthdays on the screen
39343732353732	Tell me what's in the news today
3138393930353635	Where did Troy go to college?
3231323430393431	remind me to send flowers to my mom next mothers day
3231323738313831	Send a message to Linda that i'm looking forward to our lunch tomorrow.
39343834323032	low temperature on Friday
3231323339373030	remind me that i have a dentist appointment one week prior
39353735353734	play rock and roll
39343932363536	Set alarm for tonight at 5 pm
3138393933363236	how long has judi been with tupperware?
3136323733333436	Where is Donald Trump traveling today
39343530343930	Find me an easy recipe for Chicken Parm
3135323933363133	Read me the recent sports headlines
3231333436343737	dont want to talk
39353131353932	Will it be warmer than 70 degrees tomorrow?
39353137363032	what are the current wind speeds
3231363735393631	hold this call
3231333431373538	invite Bob to call
3231323832383632	Send a message to Sara to find out what time the Drake concert starts on Thursday.
39343630313035	how many eggs do I need for a chocolate cake
39353634353833	what is the weather in Vegas like next week?
3231323235303837	when was my last exterminator reminder
39343934303836	I need good dance music for my guests
39353037393932	play lana del ray's top hits playlist
39343539353734	What can I cook with rice
3231323738393132	Read the messages from yesterday.
39353436343832	I want to know the latest news
39343739313233	Houston top news
39353239383839	pause all timers running.
3135323938393132	What are the latest headlines in The Economist
3135323932343539	What are the headlines saying about Donald Trump right now
3231363335393130	Make a new alarm for tommorow night at 8pm.
3231323235383138	remind me to call vet on monday for scotts rabie shot
3231313533353738	Set up a reminder for watering the plants.
3138393832313332	List all the South High alumni on my friends list.
39343531383136	How do you make pork carnitas
3138393832363238	Do I have any friends that went to Humbolt State?
3231353939353336	Change my 'Murdock Mysteries' alarm to start on June 5th
39353432393939	What the weather going to be like today?
39343632363038	Tell me how to make a Cornish game hen
39353231323934	Tell me the latest news on the Rideout verdict.
39343630333335	I need a recipe for steak marinade
3138393739363136	do I know anyone in Michigan?
3232353833343833	can you please send message to Maddie and Duane Reade
39353038343737	Headlines on CNN
3231373232323139	call my wife Brianna Anderson through WhatsApp
3231313530303530	Take the alert off for the reminder about the photoshoot on Tuesday.
3134313539383737	Temperature next week tokyo Fahrenheit
39343832363439	what is the forecast for florida beaches?
39353430393135	What is the latest national political news headline?
3232323232333136	Can you get more events similar to this please?
3231323338303438	Cancel my reminder for Friday's dinner date
39353533353632	headlines for Hawaii
3231313438313736	Set up a reminder to pay tuition tonight.
3231323338373932	I don't want to forget to watch the latest press conference
3138393835333734	Where is Pam living?
3231323332343539	Delete the reminders about calling Dad.
3231333432353938	Set status to out
39343637353730	latest stock market news
3139393839393432	Any things to do in Bay ridge tonight
39343535303738	Recipe for sweet potato soup
39343531303738	What is the final cooking time for pork
3231313535323634	Delete the reminder to meet with Carlos tomorrowat 10am.
3231333438373731	Display availability
3232313730393932	Record a video message for father.
3231323237313230	Remind me where is my appointment
3231363733383531	I want to video call my uncle Phillip
39343939333131	what kind of clothes do i need tonight?
3232323731343938	Let's setup my music app as google play music
3132363035313536	2 week weather forecast
39353536333036	How much is it going to snow in New York City?
3231363335333032	Set an alarm for July 2nd
39343538333836	How many calories are in a red velvet cup cake
3231353436323031	Please phone my sister
3135383731343436	How bad are the fires in oregon
39353635313830	Set an alarm for 4:00am, 5:00am, and 6:00am
39353631303934	Can you play some country music?
39343833323739	Will it rain into the night?
3231313434393130	Remind me to call Nate tomorrow
3135333030313533	remove 10 minutes from today's timer
3231323334383732	remind my kids to buckle their seat belts before leaving the driveway
3231343630383930	Which of Krista A. Selvaggi kids were born on the 25th?
3139393738343934	Anything to do tomorrow in Braintree
39353336353632	What is the forecast for Manhattan today?
3231323836393234	Message Rhonda Ask her details about Vacation Bible School in July
3231323233393130	Show me the reminders for Ava on her Gymnastics schedule in September
39343736303532	what alarms are on right now?
3231353538313834	What is the weather like this morning?
3231353534363530	Set an alarm for Friday at 5
3231353539383839	Tell me about the weather today
3231363735383032	Turn off video for this call
39343639393231	read me to breaking news for spring hill
39343532383730	Look up a tomato sauce recipe
3231303135343935	remove jessica  and chris from this video call
3232323830393036	Play something like Upchurch
3231313532383636	I need to call my grandma on Sunday set reminder for 9am
3232343330363634	create one timer for 60 seconds and a second for 17 minutes
39343533313636	how many tsp of salt are in a cake
3231363031353536	Set an alarm for 12pm next tuesday
3231353233373136	Play Money on Pandora
3232323230333134	Can you find and play Impreska, Vol 19 by Usher?
3231373530353331	I want you to tell me the location of the second event
39353030363734	Should I send my son to school in a jacket?
3138393935313033	Who is Shirley's mother?
3231363430333834	What's the weather like
3135323931393934	What did Anderson Cooper cover last
39353439393530	Is there flooding in New Orleans?
39343637323038	Updates on the latest FBI investigation news
3138393735353631	Who are my friends
3231353036353439	call Clarence Jabbour 's son
3138393930323631	tell me where does Andrea go to college
3231323739323634	Did MJ text me today?
39353232343430	Will it be sunny or cloudy tomorrow?
3231363430393036	Show me this week's weather please
39353732303937	what are the passed laws of this year so far?
3231313435323331	remind me to get extra food and treats for the dogs
3231323238393036	Set up a reminder for Ashkin to do his homework.
3136333731353731	What's the recent news about the solar eclipse happening next week
3138393738353938	Do I know anyone who lives in Sacramento?
3231353036353639	call Sloane 's kid
3231373233313331	Begin a video message for Bryan.
39353531353130	delete 2 minutes from steve's running timer
3231353334373337	play ME! (feat. Brendon Urie of Panic! At The Disco) on iHeartRadio
3231353438383635	Set an alarm.
39343630303236	How to saute mushroom
39353433363130	what are the latest headlines from MSNBC
3231373130383936	I'd like to call Fernando Damien Sanders
3231343630373830	Show all Glenda Wulfing fathers-in-law upcoming birthdays
3231363038373639	create alarm for 830
39353432323130	Want to hear about news
3232333636333737	on whatsapp call grandfather
3132353837363930	What is the weather for next Friday in Idaho Falls
